date,store_id,product_id,category,price,purchase_cost,units_sold,stock_on_hand,stock_received,reorder_flag,stockout_flag,holding_cost,revenue,cost,promotion_flag,lead_time,day_of_week,month
2024-02-06,10,499,Electronics,89.31,51.14,6,11,9,0,0,0.5,535.86,306.84000000000003,1,3,1,2
2024-05-17,37,497,Home Appliances,19.85,17.1,6,13,5,0,0,0.7000000000000001,119.10000000000001,102.60000000000001,0,1,4,5
2024-01-24,34,132,Toys,66.42,38.3,3,15,6,0,0,1.2000000000000002,199.26,114.89999999999999,0,1,2,1
2024-10-01,25,279,Grocery,82.44,52.32,5,12,0,0,0,0.7000000000000001,412.2,261.6,0,5,1,10
2023-09-28,7,352,Health,144.59,90.56,4,20,5,0,0,1.6,578.36,362.24,0,5,3,9
2023-06-23,50,67,Grocery,136.85,89.16,1,15,5,0,0,1.4000000000000001,136.85,89.16,0,6,4,6
2023-12-05,3,430,Clothing,25.31,18.28,4,17,5,0,0,1.3,101.24,73.12,0,4,1,12
2024-02-07,5,356,Home Appliances,98.12,53.62,6,12,3,0,0,0.6000000000000001,588.72,321.71999999999997,0,6,2,2
2024-12-31,50,94,Home Appliances,86.57,63.95,4,14,2,0,0,1.0,346.28,255.8,0,3,1,12
2024-12-23,6,308,Health,49.92,25.36,5,13,3,0,0,0.8,249.60000000000002,126.8,0,6,0,12
2024-05-28,48,62,Home Appliances,81.1,43.99,9,14,5,0,0,0.5,729.9,395.91,0,2,1,5
2023-06-06,10,6,Electronics,15.85,10.02,2,18,9,0,0,1.6,31.7,20.04,0,7,1,6
2024-06-22,46,213,Toys,8.72,7.15,15,19,0,0,0,0.4,130.8,107.25,1,7,5,6
2023-01-21,36,174,Grocery,25.33,19.13,6,7,5,1,0,0.1,151.98,114.78,0,7,5,1
2024-01-18,48,465,Health,110.76,78.15,1,5,3,1,0,0.4,110.76,78.15,0,2,3,1
2024-04-04,24,441,Health,72.17,57.43,3,6,0,1,0,0.30000000000000004,216.51,172.29,0,4,3,4
2023-09-10,41,415,Toys,13.82,9.83,5,20,6,0,0,1.5,69.1,49.15,0,2,6,9
2023-03-10,19,21,Grocery,21.48,18.71,10,22,4,0,0,1.2000000000000002,214.8,187.10000000000002,0,4,4,3
2023-10-21,25,74,Clothing,16.22,10.83,5,11,2,0,0,0.6000000000000001,81.1,54.15,0,6,5,10
2023-01-17,41,154,Clothing,142.16,90.38,2,16,2,0,0,1.4000000000000001,284.32,180.76,0,4,1,1
2023-09-13,7,395,Electronics,116.1,92.84,6,13,2,0,0,0.7000000000000001,696.5999999999999,557.04,0,3,2,9
2023-02-15,27,294,Health,67.93,38.24,6,13,6,0,0,0.7000000000000001,407.58000000000004,229.44,0,2,2,2
2023-07-03,15,450,Grocery,59.71,53.27,5,17,2,0,0,1.2000000000000002,298.55,266.35,0,3,0,7
2024-04-06,6,332,Clothing,23.06,17.68,5,21,5,0,0,1.6,115.3,88.4,0,3,5,4
2023-08-01,20,153,Grocery,49.24,29.9,4,18,4,0,0,1.4000000000000001,196.96,119.6,0,7,1,8
2023-03-30,26,275,Clothing,113.64,59.97,6,8,6,1,0,0.2,681.84,359.82,0,1,3,3
2024-03-02,31,237,Toys,117.22,84.73,7,21,1,0,0,1.4000000000000001,820.54,593.11,0,3,5,3
2024-10-15,19,105,Health,118.7,75.12,2,2,9,1,0,0.0,237.4,150.24,0,1,1,10
2023-12-30,37,237,Toys,152.74,84.73,6,23,7,0,0,1.7000000000000002,916.44,508.38,0,7,5,12
2024-09-09,25,372,Home Appliances,47.41,33.81,3,21,0,0,0,1.8,142.23,101.43,0,3,0,9
2024-10-20,19,411,Clothing,107.27,72.05,13,26,4,0,0,1.3,1394.51,936.65,0,2,6,10
2023-03-09,27,328,Clothing,46.3,27.06,3,6,7,1,0,0.30000000000000004,138.89999999999998,81.17999999999999,1,1,3,3
2024-12-01,39,163,Grocery,107.24,78.4,5,19,2,0,0,1.4000000000000001,536.1999999999999,392.0,0,4,6,12
2023-04-27,15,171,Grocery,122.35,65.02,6,13,9,0,0,0.7000000000000001,734.0999999999999,390.12,0,6,3,4
2024-02-23,35,372,Home Appliances,50.2,33.81,4,4,4,1,0,0.0,200.8,135.24,0,3,4,2
2024-12-29,34,482,Health,71.55,37.43,5,17,0,0,0,1.2000000000000002,357.75,187.15,0,1,6,12
2024-12-01,33,398,Electronics,132.47,77.46,0,14,6,0,0,1.4000000000000001,0.0,0.0,0,4,6,12
2024-03-17,36,319,Electronics,159.24,93.79,3,11,2,0,0,0.8,477.72,281.37,0,7,6,3
2024-01-06,43,224,Toys,106.29,82.93,6,9,4,1,0,0.30000000000000004,637.74,497.58000000000004,0,6,5,1
2024-01-06,23,399,Clothing,74.68,38.94,5,9,7,1,0,0.4,373.40000000000003,194.7,0,3,5,1
2024-01-21,2,302,Health,165.09,95.1,7,19,3,0,0,1.2000000000000002,1155.63,665.6999999999999,1,1,6,1
2024-06-10,32,421,Health,74.13,61.06,7,9,2,1,0,0.2,518.91,427.42,0,4,0,6
2024-02-19,44,194,Health,51.8,42.96,6,14,9,0,0,0.8,310.79999999999995,257.76,0,3,0,2
2023-08-19,7,36,Toys,84.75,59.79,5,12,1,0,0,0.7000000000000001,423.75,298.95,0,2,5,8
2024-01-14,38,294,Health,61.52,38.24,10,20,2,0,0,1.0,615.2,382.40000000000003,0,2,6,1
2023-08-02,47,370,Home Appliances,41.68,25.63,4,9,5,1,0,0.5,166.72,102.52,0,1,2,8
2024-06-29,32,111,Grocery,8.06,6.39,3,20,3,0,0,1.7000000000000002,24.18,19.169999999999998,0,4,5,6
2024-11-02,22,449,Health,133.02,91.34,3,11,4,0,0,0.8,399.06000000000006,274.02,1,1,5,11
2024-05-06,32,278,Home Appliances,7.85,6.31,4,20,0,0,0,1.6,31.4,25.24,0,7,0,5
2024-04-26,39,21,Grocery,33.45,18.71,3,18,5,0,0,1.5,100.35000000000001,56.13,0,7,4,4
2023-07-24,50,67,Grocery,165.6,89.16,5,14,4,0,0,0.9,828.0,445.79999999999995,0,1,0,7
2023-07-05,33,432,Home Appliances,16.43,14.61,4,19,0,0,0,1.5,65.72,58.44,0,6,2,7
2023-11-05,37,117,Clothing,96.49,84.61,5,19,8,0,0,1.4000000000000001,482.45,423.05,0,2,6,11
2024-11-16,41,79,Toys,178.41,99.71,7,13,4,0,0,0.6000000000000001,1248.87,697.9699999999999,1,5,5,11
2024-03-06,14,249,Clothing,75.41,47.16,5,5,2,1,0,0.0,377.04999999999995,235.79999999999998,0,6,2,3
2024-02-29,39,75,Grocery,144.69,93.69,4,21,1,0,0,1.7000000000000002,578.76,374.76,0,5,3,2
2023-09-24,4,420,Grocery,133.87,99.03,2,4,6,1,0,0.2,267.74,198.06,0,5,6,9
2024-03-06,40,148,Health,138.16,72.6,8,14,8,0,0,0.6000000000000001,1105.28,580.8,0,1,2,3
2023-06-26,45,271,Toys,47.01,40.56,9,22,6,0,0,1.3,423.09,365.04,0,2,0,6
2023-01-15,21,426,Home Appliances,127.45,82.77,5,20,3,0,0,1.5,637.25,413.84999999999997,0,2,6,1
2023-09-14,20,379,Clothing,34.05,22.08,4,7,2,1,0,0.30000000000000004,136.2,88.32,0,3,3,9
2024-06-27,1,59,Electronics,59.98,34.64,5,23,8,0,0,1.8,299.9,173.2,0,7,3,6
2023-11-07,43,221,Grocery,57.36,32.64,5,8,3,1,0,0.30000000000000004,286.8,163.2,0,7,1,11
2024-08-11,12,192,Electronics,24.95,15.24,5,17,1,0,0,1.2000000000000002,124.75,76.2,0,4,6,8
2023-05-30,36,424,Home Appliances,129.51,69.07,11,14,6,0,0,0.30000000000000004,1424.61,759.77,0,5,1,5
2023-08-25,50,407,Grocery,166.43,88.49,3,13,3,0,0,1.0,499.29,265.46999999999997,0,5,4,8
2023-06-12,26,127,Home Appliances,72.57,59.23,7,25,3,0,0,1.8,507.98999999999995,414.60999999999996,0,7,0,6
2023-02-11,15,170,Health,128.38,67.95,10,13,5,0,0,0.30000000000000004,1283.8,679.5,0,3,5,2
2024-11-27,7,48,Toys,112.58,79.18,9,16,5,0,0,0.7000000000000001,1013.22,712.6200000000001,1,1,2,11
2024-09-25,7,431,Clothing,90.12,80.99,5,23,7,0,0,1.8,450.6,404.95,0,6,2,9
2024-09-01,37,288,Toys,171.56,97.96,6,16,0,0,0,1.0,1029.3600000000001,587.76,1,2,6,9
2024-10-24,32,329,Grocery,93.9,52.32,10,20,5,0,0,1.0,939.0,523.2,0,3,3,10
2023-07-12,34,105,Health,94.79,75.12,9,23,3,0,0,1.4000000000000001,853.11,676.08,0,1,2,7
2024-02-12,34,198,Grocery,126.16,65.01,9,10,5,0,0,0.1,1135.44,585.09,1,7,0,2
2023-03-14,48,121,Electronics,109.88,61.23,2,4,6,1,0,0.2,219.76,122.46,0,1,1,3
2023-12-17,2,458,Clothing,80.87,41.66,6,24,4,0,0,1.8,485.22,249.95999999999998,0,1,6,12
2024-09-26,18,241,Clothing,9.16,5.94,10,25,0,0,0,1.5,91.6,59.400000000000006,0,3,3,9
2023-08-05,30,169,Clothing,130.73,66.44,7,16,0,0,0,0.9,915.1099999999999,465.08,0,1,5,8
2024-02-07,2,412,Electronics,36.39,21.97,4,13,7,0,0,0.9,145.56,87.88,0,1,2,2
2024-10-18,47,423,Home Appliances,45.82,28.5,6,17,8,0,0,1.1,274.92,171.0,0,2,4,10
2024-11-17,28,490,Electronics,139.84,87.3,9,22,4,0,0,1.3,1258.56,785.6999999999999,0,3,6,11
2023-01-14,16,255,Clothing,165.6,91.57,5,15,3,0,0,1.0,828.0,457.84999999999997,0,7,5,1
2023-03-15,21,262,Home Appliances,94.62,48.05,6,13,5,0,0,0.7000000000000001,567.72,288.29999999999995,0,7,2,3
2023-05-16,38,204,Home Appliances,10.54,7.07,4,9,8,1,0,0.5,42.16,28.28,0,4,1,5
2024-08-04,32,39,Home Appliances,43.01,34.25,3,14,5,0,0,1.1,129.03,102.75,0,6,6,8
2024-11-16,24,302,Health,126.89,95.1,10,18,9,0,0,0.8,1268.9,951.0,0,7,5,11
2024-05-21,3,161,Health,89.18,47.25,4,4,8,1,0,0.0,356.72,189.0,0,6,1,5
2024-10-29,31,229,Clothing,27.33,15.18,7,20,0,0,0,1.3,191.31,106.25999999999999,0,2,1,10
2024-04-11,27,2,Home Appliances,115.43,95.23,4,23,0,0,0,1.9000000000000001,461.72,380.92,0,2,3,4
2023-05-05,41,192,Electronics,26.18,15.24,8,16,8,0,0,0.8,209.44,121.92,0,7,4,5
2023-06-29,4,55,Electronics,53.35,44.33,6,14,6,0,0,0.8,320.1,265.98,0,2,3,6
2023-01-27,28,111,Grocery,9.02,6.39,9,18,6,0,0,0.9,81.17999999999999,57.51,0,3,4,1
2023-12-12,46,392,Health,123.48,81.97,3,10,2,0,0,0.7000000000000001,370.44,245.91,1,5,1,12
2023-03-09,6,163,Grocery,128.6,78.4,3,21,5,0,0,1.8,385.79999999999995,235.20000000000002,1,3,3,3
2024-01-24,8,396,Home Appliances,98.02,52.29,7,19,1,0,0,1.2000000000000002,686.14,366.03,0,4,2,1
2023-08-13,8,81,Grocery,92.59,57.13,7,7,3,1,0,0.0,648.13,399.91,0,6,6,8
2023-08-01,19,236,Toys,18.2,12.3,5,12,3,0,0,0.7000000000000001,91.0,61.5,0,7,1,8
2023-05-11,47,369,Toys,34.06,24.33,8,24,4,0,0,1.6,272.48,194.64,0,3,3,5
2024-02-14,28,191,Toys,99.84,55.48,2,16,7,0,0,1.4000000000000001,199.68,110.96,0,6,2,2
2024-05-20,33,164,Electronics,110.64,66.24,8,22,1,0,0,1.4000000000000001,885.12,529.92,0,2,0,5
2023-07-17,27,60,Home Appliances,109.64,73.29,5,9,9,1,0,0.4,548.2,366.45000000000005,0,6,0,7
2024-04-27,20,229,Clothing,20.36,15.18,4,17,6,0,0,1.3,81.44,60.72,0,2,5,4
2023-03-16,25,149,Home Appliances,7.77,5.09,3,8,4,1,0,0.5,23.31,15.27,0,3,3,3
2024-11-02,24,138,Toys,78.16,53.36,6,21,0,0,0,1.5,468.96,320.15999999999997,0,2,5,11
2023-12-24,36,219,Clothing,112.94,70.54,5,23,3,0,0,1.8,564.7,352.70000000000005,0,6,6,12
2024-05-25,29,256,Electronics,112.27,85.93,5,9,8,1,0,0.4,561.35,429.65000000000003,0,4,5,5
2024-03-22,36,252,Home Appliances,114.64,59.83,7,15,4,0,0,0.8,802.48,418.81,0,7,4,3
2024-03-30,21,156,Toys,130.22,80.37,4,20,8,0,0,1.6,520.88,321.48,0,2,5,3
2024-03-18,6,314,Health,50.43,36.95,3,7,3,1,0,0.4,151.29,110.85000000000001,0,4,0,3
2023-02-23,34,58,Grocery,99.43,69.02,6,11,3,0,0,0.5,596.58,414.12,0,4,3,2
2023-08-12,19,212,Health,54.29,29.4,5,19,7,0,0,1.4000000000000001,271.45,147.0,0,2,5,8
2023-08-06,17,165,Grocery,41.96,24.11,10,13,4,0,0,0.30000000000000004,419.6,241.1,0,6,6,8
2024-01-22,9,348,Health,79.57,43.73,3,20,4,0,0,1.7000000000000002,238.70999999999998,131.19,0,3,0,1
2024-09-11,28,188,Toys,89.69,47.66,1,16,9,0,0,1.5,89.69,47.66,0,7,2,9
2024-09-04,18,401,Electronics,106.23,92.42,6,20,9,0,0,1.4000000000000001,637.38,554.52,1,6,2,9
2023-06-27,29,13,Clothing,67.51,51.47,8,12,0,0,0,0.4,540.08,411.76,0,5,1,6
2023-04-14,33,83,Clothing,18.06,14.2,3,22,5,0,0,1.9000000000000001,54.17999999999999,42.599999999999994,0,4,4,4
2024-03-10,14,490,Electronics,151.28,87.3,9,25,0,0,0,1.6,1361.52,785.6999999999999,0,6,6,3
2023-10-12,4,300,Health,145.99,75.79,6,19,8,0,0,1.3,875.94,454.74,0,7,3,10
2024-02-25,17,207,Grocery,32.71,18.9,4,20,7,0,0,1.6,130.84,75.6,0,5,6,2
2024-10-18,34,241,Clothing,8.37,5.94,6,13,5,0,0,0.7000000000000001,50.22,35.64,1,3,4,10
2024-10-27,46,143,Health,24.03,20.72,3,20,0,0,0,1.7000000000000002,72.09,62.16,1,1,6,10
2024-05-07,48,189,Electronics,49.08,28.44,2,4,3,1,0,0.2,98.16,56.88,0,3,1,5
2023-08-09,46,426,Home Appliances,92.34,82.77,6,10,5,0,0,0.4,554.04,496.62,0,3,2,8
2023-12-08,26,107,Clothing,99.97,89.96,2,7,6,1,0,0.5,199.94,179.92,0,4,4,12
2024-06-04,19,460,Clothing,80.5,49.43,6,11,0,0,0,0.5,483.0,296.58,1,6,1,6
2023-10-11,10,366,Electronics,32.79,26.23,15,34,1,0,0,1.9000000000000001,491.84999999999997,393.45,1,6,2,10
2023-06-01,44,154,Clothing,169.09,90.38,15,27,8,0,0,1.2000000000000002,2536.35,1355.6999999999998,1,7,3,6
2024-06-05,3,229,Clothing,27.0,15.18,4,21,8,0,0,1.7000000000000002,108.0,60.72,0,7,2,6
2023-06-12,5,196,Health,17.02,11.96,2,7,5,1,0,0.5,34.04,23.92,0,3,0,6
2024-08-11,17,383,Toys,74.67,39.42,4,15,0,0,0,1.1,298.68,157.68,1,1,6,8
2023-01-08,28,394,Grocery,168.9,98.99,3,5,8,1,0,0.2,506.70000000000005,296.96999999999997,0,3,6,1
2024-02-11,32,41,Health,62.48,49.98,9,18,0,0,0,0.9,562.3199999999999,449.82,0,1,6,2
2023-08-17,15,91,Grocery,103.03,72.21,8,12,9,0,0,0.4,824.24,577.68,0,3,3,8
2023-12-04,19,371,Grocery,67.65,36.54,4,18,9,0,0,1.4000000000000001,270.6,146.16,0,3,0,12
2023-09-26,49,303,Grocery,112.47,88.34,10,15,0,0,0,0.5,1124.7,883.4000000000001,1,4,1,9
2023-06-22,13,48,Toys,126.09,79.18,4,7,0,1,0,0.30000000000000004,504.36,316.72,0,1,3,6
2023-06-03,27,297,Grocery,56.31,38.3,6,6,4,1,0,0.0,337.86,229.79999999999998,0,7,5,6
2024-01-04,8,400,Health,87.52,54.63,2,20,1,0,0,1.8,175.04,109.26,0,6,3,1
2023-11-22,33,79,Toys,187.02,99.71,6,15,0,0,0,0.9,1122.1200000000001,598.26,0,3,2,11
2024-07-28,26,307,Toys,61.9,55.21,6,23,1,0,0,1.7000000000000002,371.4,331.26,1,2,6,7
2024-07-24,13,312,Electronics,55.19,48.06,9,12,5,0,0,0.30000000000000004,496.71,432.54,0,4,2,7
2023-04-02,12,151,Toys,33.74,27.95,7,24,9,0,0,1.7000000000000002,236.18,195.65,0,1,6,4
2024-09-23,3,115,Grocery,40.91,20.65,3,10,1,0,0,0.7000000000000001,122.72999999999999,61.949999999999996,0,6,0,9
2024-05-27,16,45,Electronics,12.52,7.69,5,19,3,0,0,1.4000000000000001,62.599999999999994,38.45,0,2,0,5
2023-04-14,22,327,Clothing,71.0,44.39,4,13,3,0,0,0.9,284.0,177.56,0,4,4,4
2023-02-03,43,471,Home Appliances,78.29,47.55,3,13,5,0,0,1.0,234.87,142.64999999999998,0,5,4,2
2024-02-02,5,271,Toys,75.41,40.56,5,18,1,0,0,1.3,377.04999999999995,202.8,0,7,4,2
2023-09-13,30,33,Grocery,59.23,34.62,6,11,5,0,0,0.5,355.38,207.71999999999997,1,4,2,9
2024-08-01,21,242,Health,95.93,56.56,1,2,3,1,0,0.1,95.93,56.56,0,3,3,8
2023-03-28,8,166,Home Appliances,31.7,24.47,3,21,6,0,0,1.8,95.1,73.41,0,4,1,3
2023-11-08,37,413,Home Appliances,61.82,55.05,6,12,8,0,0,0.6000000000000001,370.92,330.29999999999995,1,4,2,11
2024-09-15,30,139,Grocery,97.06,50.01,6,6,0,1,0,0.0,582.36,300.06,0,2,6,9
2024-01-01,35,258,Electronics,24.54,15.66,5,16,1,0,0,1.1,122.69999999999999,78.3,0,7,0,1
2024-05-07,20,275,Clothing,112.89,59.97,5,16,3,0,0,1.1,564.45,299.85,0,6,1,5
2024-10-30,7,444,Health,157.2,85.75,4,13,8,0,0,0.9,628.8,343.0,1,6,2,10
2023-04-15,30,75,Grocery,182.48,93.69,9,24,3,0,0,1.5,1642.32,843.21,0,2,5,4
2023-06-14,15,498,Toys,117.38,90.1,9,21,9,0,0,1.2000000000000002,1056.42,810.9,1,4,2,6
2024-03-24,6,230,Toys,55.98,36.2,8,19,4,0,0,1.1,447.84,289.6,0,6,6,3
2023-06-04,21,473,Home Appliances,18.09,14.19,6,21,2,0,0,1.5,108.53999999999999,85.14,0,6,6,6
2024-06-13,22,485,Grocery,66.92,51.39,6,16,6,0,0,1.0,401.52,308.34000000000003,0,2,3,6
2023-10-02,28,33,Grocery,63.73,34.62,8,22,0,0,0,1.4000000000000001,509.84,276.96,0,4,0,10
2024-12-23,18,26,Grocery,121.8,84.79,5,10,7,0,0,0.5,609.0,423.95000000000005,0,3,0,12
2023-10-24,43,103,Grocery,80.97,49.32,4,14,8,0,0,1.0,323.88,197.28,0,3,1,10
2024-04-28,24,495,Clothing,108.58,56.72,4,20,0,0,0,1.6,434.32,226.88,0,1,6,4
2024-08-14,10,290,Toys,142.5,82.32,6,12,8,0,0,0.6000000000000001,855.0,493.91999999999996,0,1,2,8
2023-05-09,32,5,Toys,131.35,67.87,2,9,9,1,0,0.7000000000000001,262.7,135.74,0,5,1,5
2024-11-20,37,240,Grocery,136.08,97.65,3,10,2,0,0,0.7000000000000001,408.24,292.95000000000005,0,6,2,11
2024-07-23,16,3,Clothing,81.69,47.26,3,13,0,0,0,1.0,245.07,141.78,0,2,1,7
2024-07-18,29,466,Electronics,55.56,34.13,1,9,7,1,0,0.8,55.56,34.13,0,3,3,7
2023-11-01,24,491,Grocery,83.41,69.73,3,10,5,0,0,0.7000000000000001,250.23,209.19,0,3,2,11
2023-11-15,49,339,Clothing,123.11,62.34,4,19,7,0,0,1.5,492.44,249.36,0,7,2,11
2024-10-03,27,123,Health,103.3,63.75,5,21,0,0,0,1.6,516.5,318.75,0,5,3,10
2024-10-17,15,9,Clothing,10.49,8.33,6,14,8,0,0,0.8,62.94,49.980000000000004,0,7,3,10
2024-01-10,40,178,Clothing,128.85,79.38,3,5,3,1,0,0.2,386.54999999999995,238.14,0,1,2,1
2023-04-26,27,283,Health,37.55,21.24,8,13,8,0,0,0.5,300.4,169.92,0,5,2,4
2024-07-03,36,229,Clothing,20.1,15.18,9,10,8,0,0,0.1,180.9,136.62,0,2,2,7
2024-02-18,41,402,Toys,43.31,26.01,8,21,5,0,0,1.3,346.48,208.08,0,6,6,2
2023-09-08,46,457,Toys,15.52,11.19,2,14,4,0,0,1.2000000000000002,31.04,22.38,0,1,4,9
2023-05-08,10,396,Home Appliances,90.16,52.29,8,26,8,0,0,1.8,721.28,418.32,0,4,0,5
2024-09-15,8,364,Grocery,46.39,26.13,4,22,1,0,0,1.8,185.56,104.52,1,6,6,9
2024-03-15,7,402,Toys,46.84,26.01,5,21,6,0,0,1.6,234.20000000000002,130.05,0,7,4,3
2023-04-13,4,440,Health,42.95,26.26,7,21,5,0,0,1.4000000000000001,300.65000000000003,183.82000000000002,0,4,3,4
2023-12-16,16,317,Toys,22.53,15.82,10,21,7,0,0,1.1,225.3,158.2,0,7,5,12
2024-10-12,15,188,Toys,78.87,47.66,5,17,7,0,0,1.2000000000000002,394.35,238.29999999999998,0,1,5,10
2024-12-10,3,72,Toys,101.65,75.63,4,5,8,1,0,0.1,406.6,302.52,0,1,1,12
2023-12-14,16,92,Toys,124.78,93.2,3,19,7,0,0,1.6,374.34000000000003,279.6,0,4,3,12
2024-08-15,40,224,Toys,141.04,82.93,5,16,9,0,0,1.1,705.1999999999999,414.65000000000003,0,4,3,8
2023-12-06,6,260,Health,53.07,38.86,6,11,2,0,0,0.5,318.42,233.16,0,3,2,12
2023-08-27,18,162,Electronics,99.81,82.77,5,7,8,1,0,0.2,499.05,413.84999999999997,0,6,6,8
2024-09-23,25,94,Home Appliances,70.69,63.95,4,16,7,0,0,1.2000000000000002,282.76,255.8,0,7,0,9
2023-11-10,20,26,Grocery,94.63,84.79,6,23,5,0,0,1.7000000000000002,567.78,508.74,1,5,4,11
2023-08-20,22,7,Clothing,69.06,44.08,9,11,0,0,0,0.2,621.54,396.71999999999997,0,3,6,8
2024-07-22,48,427,Home Appliances,99.47,86.08,5,16,4,0,0,1.1,497.35,430.4,0,5,0,7
2023-06-19,18,140,Health,127.12,69.79,5,18,2,0,0,1.3,635.6,348.95000000000005,0,6,0,6
2024-02-03,4,191,Toys,62.07,55.48,9,21,7,0,0,1.2000000000000002,558.63,499.32,0,3,5,2
2023-11-07,28,192,Electronics,22.71,15.24,7,8,9,1,0,0.1,158.97,106.68,0,7,1,11
2023-10-22,40,238,Home Appliances,55.27,28.65,7,17,2,0,0,1.0,386.89000000000004,200.54999999999998,0,3,6,10
2023-08-31,29,242,Health,71.82,56.56,5,12,9,0,0,0.7000000000000001,359.09999999999997,282.8,0,6,3,8
2024-05-10,41,203,Health,11.65,6.29,4,17,0,0,0,1.3,46.6,25.16,0,2,4,5
2024-10-27,19,426,Home Appliances,165.2,82.77,3,11,5,0,0,0.8,495.59999999999997,248.31,1,6,6,10
2023-09-02,38,9,Clothing,12.35,8.33,7,25,5,0,0,1.8,86.45,58.31,0,3,5,9
2024-02-15,12,186,Clothing,111.23,74.29,4,7,2,1,0,0.30000000000000004,444.92,297.16,1,2,3,2
2024-09-04,9,117,Clothing,150.5,84.61,7,8,2,1,0,0.1,1053.5,592.27,0,5,2,9
2024-08-17,15,237,Toys,109.03,84.73,1,16,8,0,0,1.5,109.03,84.73,0,5,5,8
2024-01-04,11,21,Grocery,28.52,18.71,6,9,1,1,0,0.30000000000000004,171.12,112.26,0,2,3,1
2023-09-07,48,168,Health,37.36,23.4,5,12,3,0,0,0.7000000000000001,186.8,117.0,0,4,3,9
2024-04-17,38,405,Home Appliances,112.91,86.73,10,29,6,0,0,1.9000000000000001,1129.1,867.3000000000001,0,2,2,4
2023-07-04,5,300,Health,120.8,75.79,4,11,1,0,0,0.7000000000000001,483.2,303.16,0,1,1,7
2024-03-14,24,428,Health,27.48,14.61,6,20,1,0,0,1.4000000000000001,164.88,87.66,0,1,3,3
2024-11-19,48,292,Electronics,25.56,15.69,6,17,5,0,0,1.1,153.35999999999999,94.14,0,3,1,11
2023-04-14,16,122,Health,128.88,98.18,7,23,4,0,0,1.6,902.16,687.26,1,4,4,4
2024-12-17,9,246,Clothing,101.04,68.32,5,24,9,0,0,1.9000000000000001,505.20000000000005,341.59999999999997,0,4,1,12
2024-05-23,10,116,Clothing,91.89,64.77,5,20,3,0,0,1.5,459.45,323.84999999999997,0,2,3,5
2024-11-26,47,321,Grocery,110.87,99.93,6,24,0,0,0,1.8,665.22,599.58,0,5,1,11
2024-01-28,43,32,Health,73.95,49.26,5,22,3,0,0,1.7000000000000002,369.75,246.29999999999998,0,5,6,1
